brand,count,percentage,year,quarter
Xiaomi,11926334.0,0.25441289809538403,2018,Q1
Samsung,9609401.0,0.204988017052909,2018,Q1
Vivo,5894293.0,0.125737226909236,2018,Q1
Oppo,4479351.0,0.09555364368434201,2018,Q1
Realme,2376866.0,0.050703373513133004,2018,Q1
Apple,1825153.0,0.038934216012857,2018,Q1
Motorola,1593250.0,0.033987254582210004,2018,Q1
OnePlus,1536418.0,0.032774912732270005,2018,Q1
Lenovo,1246507.0,0.026590522986039002,2018,Q1
Huawei,808774.0,0.017252790106682,2018,Q1
Others,5581520.0,0.11906514432493201,2018,Q1
Xiaomi,16416511.0,0.25792532028069004,2018,Q2
Samsung,12943051.0,0.20335262313559202,2018,Q2
Vivo,8365074.0,0.13142648828497502,2018,Q2
Oppo,6246581.0,0.09814213294678001,2018,Q2
Realme,3165738.0,0.049737973408281004,2018,Q2
Apple,2326897.0,0.036558660606092,2018,Q2
Motorola,2099718.0,0.032989375004782,2018,Q2
OnePlus,1890141.0,0.029696640339757004,2018,Q2
Lenovo,1627153.0,0.025564747507596002,2018,Q2
Huawei,1104740.0,0.017356941333447,2018,Q2
Others,7462707.0,0.117249097152004,2018,Q2
Xiaomi,20859459.0,0.260707546636865,2018,Q3
Samsung,16228372.0,0.20282688299971702,2018,Q3
Vivo,11118842.0,0.138966500486083,2018,Q3
Oppo,8103650.0,0.10128175952712001,2018,Q3
Realme,3962596.0,0.049525669935785006,2018,Q3
Apple,2774989.0,0.034682614450081,2018,Q3
Motorola,2529272.0,0.031611572375741005,2018,Q3
OnePlus,2231557.0,0.027890644270799,2018,Q3
Lenovo,1857680.0,0.023217821480239,2018,Q3
Huawei,1444125.0,0.018049091579362003,2018,Q3
Others,8900410.0,0.111239896258202,2018,Q3
Xiaomi,26709586.0,0.261187651666104,2018,Q4
Samsung,20740259.0,0.202814807506068,2018,Q4
Vivo,14966905.0,0.14635834376690302,2018,Q4
Oppo,10754040.0,0.105161587061789,2018,Q4
Realme,4997725.0,0.04887174426526,2018,Q4
Apple,3435529.0,0.033595344822671,2018,Q4
Motorola,3089947.0,0.030215968180964003,2018,Q4
OnePlus,2668868.0,0.026098321611080003,2018,Q4
Lenovo,2257295.0,0.022073632296945003,2018,Q4
Huawei,1899667.0,0.018576460252045002,2018,Q4
Others,10742234.0,0.10504613857016601,2018,Q4
Xiaomi,32175910.0,0.260675738768379,2019,Q1
Samsung,25070398.0,0.203109858271834,2019,Q1
Vivo,18778714.0,0.15213727117803602,2019,Q1
Oppo,13426696.0,0.10877746422769201,2019,Q1
Realme,5948556.0,0.048192707833440006,2019,Q1
Apple,4005092.0,0.032447576958517,2019,Q1
Motorola,3531217.0,0.028608440296683003,2019,Q1
OnePlus,3042107.0,0.024645876049425003,2019,Q1
Lenovo,2553783.0,0.020689679644775003,2019,Q1
Huawei,2364933.0,0.019159696086690003,2019,Q1
Others,12535293.0,0.10155569068452401,2019,Q1
Xiaomi,36936092.0,0.260465087547177,2019,Q2
Samsung,28857066.0,0.20349359704986303,2019,Q2
Vivo,22157338.0,0.15624860859623102,2019,Q2
Oppo,15797055.0,0.111397310618637,2019,Q2
Realme,6829373.0,0.048159216095122005,2019,Q2
Apple,4511382.0,0.031813260254733,2019,Q2
Motorola,3917097.0,0.027622494903786002,2019,Q2
OnePlus,3331797.0,0.023495089770039,2019,Q2
Lenovo,2826639.0,0.019932828156245003,2019,Q2
Huawei,2738178.0,0.019309020902637003,2019,Q2
Others,13906209.0,0.09806348610552301,2019,Q2
Xiaomi,41454122.0,0.26023666412808905,2019,Q3
Samsung,32271518.0,0.20259100387338003,2019,Q3
Vivo,25597791.0,0.16069532817238302,2019,Q3
Oppo,18090143.0,0.11356454414642,2019,Q3
Realme,7851606.0,0.049290050178558004,2019,Q3
Apple,4969855.0,0.031199273413637003,2019,Q3
Motorola,4193041.0,0.026322665871256003,2019,Q3
OnePlus,3607223.0,0.022645074482246,2019,Q3
Huawei,3116564.0,0.019564863028619,2019,Q3
Lenovo,2892338.0,0.018157238806092,2019,Q3
Others,15249733.0,0.09573329389931401,2019,Q3
Xiaomi,46286972.0,0.259632093130834,2019,Q4
Samsung,35921409.0,0.201489754112211,2019,Q4
Vivo,29444698.0,0.165160697341474,2019,Q4
Oppo,20682715.0,0.11601313188252001,2019,Q4
Realme,9177720.0,0.051479510341888,2019,Q4
Apple,5361581.0,0.030074088612245004,2019,Q4
Motorola,4494286.0,0.025209272304712003,2019,Q4
OnePlus,3833328.0,0.021501837974992003,2019,Q4
Huawei,3492460.0,0.019589847008694,2019,Q4
Lenovo,3062118.0,0.017175980009096002,2019,Q4
Others,16521798.0,0.09267378728132901,2019,Q4
Xiaomi,51004503.0,0.25815240117933,2020,Q1
Samsung,39560399.0,0.20022961489228402,2020,Q1
Vivo,33573609.0,0.169928286128108,2020,Q1
Oppo,23375458.0,0.11831172262116901,2020,Q1
Realme,10582375.0,0.053561261373924,2020,Q1
Apple,5755009.0,0.029128200546501,2020,Q1
Motorola,4756036.0,0.024072033669171003,2020,Q1
OnePlus,4027133.0,0.020382789610135,2020,Q1
Huawei,3850925.0,0.019490936623997,2020,Q1
Lenovo,3276777.0,0.016584964089919,2020,Q1
Others,17812940.0,0.090157789265456,2020,Q1
Xiaomi,56202867.0,0.256638401321855,2020,Q2
Samsung,43708551.0,0.199585772959497,2020,Q2
Vivo,38093292.0,0.17394489074670502,2020,Q2
Oppo,26438928.0,0.12072772398930501,2020,Q2
Realme,12034857.0,0.05495460686404301,2020,Q2
Apple,6099798.0,0.027853426180309,2020,Q2
Motorola,5066664.0,0.023135840187565003,2020,Q2
Huawei,4210805.0,0.019227742660851,2020,Q2
OnePlus,4176941.0,0.019073109929707,2020,Q2
Lenovo,3472895.0,0.015858234078319003,2020,Q2
Others,19490728.0,0.08900025108183701,2020,Q2
Xiaomi,61383234.0,0.25452301150140805,2020,Q3
Samsung,48012276.0,0.19908089359639702,2020,Q3
Vivo,43182078.0,0.17905267968528202,2020,Q3
Oppo,29530065.0,0.12244517898213601,2020,Q3
Realme,13737667.0,0.056962661430375004,2020,Q3
Apple,6523683.0,0.027050178608063,2020,Q3
Motorola,5363550.0,0.022239735663624003,2020,Q3
Huawei,4565437.0,0.018930393502238,2020,Q3
OnePlus,4382412.0,0.018171487997519,2020,Q3
Lenovo,3679349.0,0.015256266684233001,2020,Q3
Others,20809932.0,0.086287512348722,2020,Q3
Xiaomi,66711711.0,0.252436464977677,2020,Q4
Samsung,52578970.0,0.19895831061756603,2020,Q4
Vivo,48210115.0,0.182426605828882,2020,Q4
Oppo,32684041.0,0.123676092961031,2020,Q4
Realme,15590747.0,0.058995234870251004,2020,Q4
Apple,7052763.0,0.026687586532525003,2020,Q4
Motorola,5650618.0,0.021381883502571003,2020,Q4
Huawei,4915828.0,0.018601445295838,2020,Q4
OnePlus,4621214.0,0.017486628787940002,2020,Q4
Lenovo,3880170.0,0.014682525506090002,2020,Q4
Others,22375116.0,0.084667221119624,2020,Q4
Xiaomi,71553154.0,0.251076533982807,2021,Q1
Samsung,56154585.0,0.197043705006252,2021,Q1
Vivo,53341749.0,0.18717360041880002,2021,Q1
Oppo,35512326.0,0.124611023096864,2021,Q1
Realme,17541519.0,0.061552336201889005,2021,Q1
Apple,7576154.0,0.026584355558106003,2021,Q1
Motorola,5792974.0,0.020327263748185,2021,Q1
Huawei,5145488.0,0.018055266895574,2021,Q1
OnePlus,4895538.0,0.017178204513823,2021,Q1
Lenovo,3907304.0,0.013710539517757001,2021,Q1
Others,23564639.0,0.082687171059938,2021,Q1
Xiaomi,75948492.0,0.248800917922285,2021,Q2
Samsung,59144667.0,0.193752990379426,2021,Q2
Vivo,58646521.0,0.192121105679736,2021,Q2
Oppo,38402777.0,0.125804290733841,2021,Q2
Realme,20619455.0,0.067547612809182,2021,Q2
Apple,8143414.0,0.026677144270635,2021,Q2
Motorola,5744294.0,0.018817827482545003,2021,Q2
OnePlus,5365636.0,0.017577375493339,2021,Q2
Huawei,5068955.0,0.016605473310869,2021,Q2
Lenovo,3768280.0,0.012344570620153001,2021,Q2
Others,24405595.0,0.079950691297985,2021,Q2
Xiaomi,80749587.0,0.245921657766647,2021,Q3
Vivo,65338474.0,0.19898734394793802,2021,Q3
Samsung,61299387.0,0.18668636498561,2021,Q3
Oppo,42064749.0,0.128107563046953,2021,Q3
Realme,24185973.0,0.073658018521622,2021,Q3
Apple,8753177.0,0.026657669451174003,2021,Q3
OnePlus,6266945.0,0.019085887133173003,2021,Q3
Motorola,5650891.0,0.017209703903236,2021,Q3
Huawei,5126319.0,0.015612127734110002,2021,Q3
Lenovo,3585329.0,0.010919065769572,2021,Q3
Others,25334092.0,0.077154597739958,2021,Q3
Xiaomi,84820436.0,0.24154259895225602,2021,Q4
Vivo,71483071.0,0.203561872169917,2021,Q4
Samsung,63618499.0,0.181165982097775,2021,Q4
Oppo,45569087.0,0.12976678999694702,2021,Q4
Realme,28686022.0,0.081688996593717,2021,Q4
Apple,9883075.0,0.028143967818558,2021,Q4
OnePlus,7178086.0,0.020440988395093,2021,Q4
Motorola,5648173.0,0.016084265185243002,2021,Q4
Huawei,4930699.0,0.014041119183958001,2021,Q4
Tecno,3799428.0,0.010819606181368001,2021,Q4
Others,25544819.0,0.072743813425163,2021,Q4
Xiaomi,88426997.0,0.237100316045907,2022,Q1
Vivo,77224616.0,0.20706324404665502,2022,Q1
Samsung,65886728.0,0.17666283558211002,2022,Q1
Oppo,49093857.0,0.131635918955979,2022,Q1
Realme,32685615.0,0.087640312456328,2022,Q1
Apple,10780434.0,0.028905700693556004,2022,Q1
OnePlus,7974546.0,0.021382241182776002,2022,Q1
Motorola,5610140.0,0.015042532396093001,2022,Q1
Huawei,4882972.0,0.013092768540396002,2022,Q1
Tecno,4550078.0,0.012200176059733002,2022,Q1
Others,25835848.0,0.06927395404046101,2022,Q1
